Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,JF2GTDNC3K,Spokane,Spokane,99201,2019,7,Subaru,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,3,299632077,-117.41162,47.65726,MODERN ELECTRIC WATER COMPANY,53063002300
Unique,Washington,Unique,5YJSA1DP2D,King,Redmond,98052,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,196543896,-122.13158,47.67858,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022802
Unique,Washington,Unique,YV4BR0DL3J,Kitsap,Seabeck,98380,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,35,243938173,-122.81585,47.64509,PUGET SOUND ENERGY INC,53035091301
Unique,Washington,Unique,WBAJA9C53J,Skagit,Anacortes,98221,2018,8,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,40,180717547,-122.61214,48.51748,PUGET SOUND ENERGY INC,53057940401
Unique,Washington,Unique,5YJSA1AG5D,King,Renton,98055,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11,207436750,-122.21152,47.43954,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806
Unique,Washington,Unique,WBAJA9C57J,King,Kent,98031,2018,8,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,47,216549665,-122.17743,47.41185,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029307
Unique,Washington,Unique,5YJRE1A11B,King,Sammamish,98074,2011,15,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,109000,45,134061938,-122.02054,47.60326,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316
Unique,Washington,Unique,5YJRE1A17A,Clark,Brush Prairie,98606,2010,16,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,18,108014497,-122.54578,45.73473,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040505
Unique,Washington,Unique,KNDJP3AE4J,Clark,Vancouver,98683,2018,8,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,18,138308397,-122.49212,45.60365,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325
Unique,Washington,Unique,KNDJP3AEXG,Snohomish,Everett,98208,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,44,237820453,-122.18637,47.89252,PUGET SOUND ENERGY INC,53061041609
